XPT,YPT,ZPT,AU_G_T,use,DIST_C
25.0,658.5,4.5,2.00581598,0,24.125
25.0,661.5,4.5,0.9880206,0,21.166
25.0,664.5,4.5,1.42433214,0,18.221
25.0,667.5,4.5,2.56831002,0,15.297
25.0,670.5,4.5,2.49893689,0,12.408
25.0,673.5,4.5,1.13633931,0,9.589
25.0,676.5,4.5,0.7637946,0,6.9232
25.0,679.5,4.5,0.75156152,0,4.6811
25.0,682.5,4.5,1.71043336,0,3.7276
25.0,685.5,4.5,0.71025711,0,4.8865
25.0,688.5,4.5,1.94215071,0,7.2014
25.0,691.5,4.5,0.70396042,0,9.8915
25.0,694.5,4.5,1.68725061,0,12.721
25.0,697.5,4.5,2.67739654,0,15.614
25.0,700.5,4.5,2.13010359,0,18.542
25.0,703.5,4.5,0.41203597,0,21.489
25.0,706.5,4.5,1.63179767,0,24.449
25.0,709.5,4.5,1.71607482,0,27.418
25.0,712.5,4.5,0.86593604,0,30.393
25.0,715.5,4.5,0.41059747,0,33.372
25.0,718.5,4.5,0.86905855,0,36.355
25.0,721.5,4.5,0.60928541,0,37.685
25.0,724.5,4.5,0.99483144,0,36.499
25.0,727.5,4.5,0.07927018,0,35.527
25.0,730.5,4.5,0.39774314,0,34.787
25.0,733.5,4.5,0.27174896,0,34.295
25.0,736.5,4.5,0.47485089,0,34.061
25.0,739.5,4.5,0.39901641,0,34.09
25.0,742.5,4.5,0.19158506,0,34.382
25.0,745.5,4.5,0.36255449,0,34.93
25.0,748.5,4.5,2.03792596,0,35.722
25.0,1.5,7.5,1.85056436,0,91.679
25.0,4.5,7.5,1.85065532,0,91.645
25.0,7.5,7.5,0.78443116,0,90.15
25.0,10.5,7.5,0.50690395,0,88.517
25.0,13.5,7.5,0.40836558,0,85.727
25.0,16.5,7.5,0.64638877,0,82.952
25.0,19.5,7.5,0.86859232,0,80.193
25.0,22.5,7.5,0.7403748,0,77.452
25.0,25.5,7.5,1.30606282,0,74.731
25.0,28.5,7.5,1.55919468,0,72.032
25.0,31.5,7.5,2.75450516,0,69.358
25.0,34.5,7.5,0.86099601,0,66.711
25.0,37.5,7.5,1.31521511,0,64.096
25.0,40.5,7.5,1.0171808,0,61.516
25.0,43.5,7.5,0.9125976,0,58.975
25.0,46.5,7.5,1.96957672,0,56.48
25.0,49.5,7.5,2.00192332,0,54.035
25.0,52.5,7.5,2.04631233,0,51.65
25.0,55.5,7.5,0.49498284,0,49.332
25.0,58.5,7.5,1.21040237,0,47.09
25.0,61.5,7.5,2.31663346,0,44.937
25.0,64.5,7.5,1.71302783,0,42.887
25.0,67.5,7.5,0.77425086,0,40.953
25.0,70.5,7.5,1.74144232,0,39.154
25.0,73.5,7.5,2.00781322,0,37.509
25.0,76.5,7.5,2.5824039,0,36.039
25.0,79.5,7.5,1.08128548,0,34.766
25.0,82.5,7.5,0.85959566,0,33.713
25.0,85.5,7.5,2.63723159,0,32.901
25.0,88.5,7.5,2.00580978,0,32.347
25.0,91.5,7.5,2.41621923,0,32.066
25.0,94.5,7.5,2.05337501,0,32.064
25.0,97.5,7.5,0.39970386,0,32.342
25.0,100.5,7.5,1.85062301,0,32.892
25.0,103.5,7.5,0.86278552,0,33.701
25.0,106.5,7.5,0.51344287,0,34.752
25.0,109.5,7.5,1.60671926,0,36.022
25.0,112.5,7.5,2.00659013,0,37.489
25.0,115.5,7.5,1.5867281,0,36.049
25.0,118.5,7.5,1.83791435,0,34.329
25.0,121.5,7.5,2.41443276,0,32.793
25.0,124.5,7.5,2.15332627,0,31.47
25.0,127.5,7.5,1.64061642,0,30.385
25.0,130.5,7.5,1.26456189,0,29.567
25.0,133.5,7.5,2.31663108,0,29.036
25.0,136.5,7.5,1.77546275,0,28.81
25.0,139.5,7.5,2.28853416,0,28.896
25.0,142.5,7.5,2.70380402,0,29.29
25.0,145.5,7.5,1.5673573,0,29.98
25.0,148.5,7.5,2.52725244,0,30.947
25.0,151.5,7.5,3.61359119,0,32.166
25.0,154.5,7.5,1.57557118,0,33.609
25.0,157.5,7.5,3.60288429,0,35.249
25.0,160.5,7.5,2.08202124,0,37.06
25.0,163.5,7.5,1.89248526,0,39.017
25.0,166.5,7.5,2.49197292,0,41.101
25.0,169.5,7.5,1.64994812,0,43.292
25.0,172.5,7.5,1.61479592,0,45.575
25.0,175.5,7.5,0.98157775,0,47.938
25.0,178.5,7.5,0.33736968,0,50.368
25.0,181.5,7.5,0.31243688,0,52.857
25.0,184.5,7.5,0.06733266,0,55.397
25.0,187.5,7.5,0.40937704,0,57.98
25.0,190.5,7.5,0.36939186,0,60.602
25.0,193.5,7.5,0.99725187,0,63.258
25.0,196.5,7.5,2.48345566,0,63.592
25.0,199.5,7.5,1.60597301,0,60.864
25.0,202.5,7.5,2.90170503,0,58.164
25.0,205.5,7.5,0.86994308,0,55.494
25.0,208.5,7.5,1.586501,0,52.86
25.0,211.5,7.5,1.78807354,0,50.267
25.0,214.5,7.5,1.08156443,0,47.722
25.0,217.5,7.5,1.97467816,0,45.232
25.0,220.5,7.5,1.85219944,0,42.808
25.0,223.5,7.5,2.10087943,0,40.461
25.0,226.5,7.5,2.0557971,0,38.206
25.0,229.5,7.5,1.30393291,0,36.059
